id,id_kabupaten_kota,kecamatan,deleted
413,48,ALASA,F
414,24,HILISALAWA\AHE (HILISALAWAAHE),F
415,39,SIBABANGUN,F
416,52,MEDAN POLONIA,F
417,25,TAMBANGAN,F
418,41,SIBOLGA UTARA,F
419,24,LAHUSA,F
420,33,SIMPANG EMPAT,F
421,53,PERGETTENG GETTENG SENGKUT,F
422,30,STABAT,F
423,31,PANTAI CERMIN,F
424,24,ARAMO,F
425,46,BERINGIN,F
426,31,DOLOK MASIHUL,F
427,42,AIR PUTIH,F
428,28,MUARA,F
429,32,ARSE,F
430,35,BARUMUN,F
431,38,LAGUBOTI,F
432,33,TANJUNG BALAI,F
433,52,MEDAN SELAYANG,F
434,44,SIANTAR TIMUR,F
435,49,MA\U,F
436,52,MEDAN MAIMUN,F
437,47,GUNUNGSITOLI IDANOI,F
438,49,HILI SERANGKAI (HILISARANGGU),F
439,24,GOMO,F
440,52,MEDAN SUNGGAL,F
441,52,MEDAN BARU,F
442,54,TEBING TINGGI KOTA,F
443,42,TANJUNG TIRAM,F
444,45,PANAI TENGAH,F
445,52,MEDAN BELAWAN KOTA,F
446,31,TANJUNG BERINGIN,F
447,46,PANTAI LABU,F
448,54,PADANG HILIR,F
449,46,BANGUN PURBA,F
450,46,SINEMBAH TANJUNG MUDA HULU,F
451,29,JORLANG HATARAN,F
452,29,PANEI,F
453,29,RAYA,F
454,29,BANDAR HULUAN,F
455,29,JAWA MARAJA BAH JAMBI,F
456,29,TANAH JAWA,F
457,44,SIANTAR SITALASARI,F
458,29,BANDAR,F
459,29,SILOU KAHEAN,F
460,31,SERBA JADI,F
461,31,TEBING TINGGI,F
462,29,DOLOK BATU NANGGAR,F
463,28,SIBORONG-BORONG,F
464,29,HUTA BAYU RAJA,F
465,31,TEBING SYAHBANDAR,F
466,48,LOTU,F
467,33,SEI DADAP,F
468,31,SIPISPIS,F
469,30,TANJUNGPURA,F
470,39,SIRANDORUNG,F
471,26,SILIMA PUNGGA-PUNGGA,F
472,26,SIEMPAT NEMPU HULU,F
473,46,BATANG KUIS,F
474,46,LUBUK PAKAM,F
475,45,RANTAU SELATAN,F
476,31,SEI BAMBAN,F
477,30,KUALA,F
478,49,BAWOLATO,F
479,34,HALONGONAN,F
480,25,NATAL,F
481,51,MANDREHE UTARA,F
482,24,PULAU-PULAU BATU,F
483,49,BOTOMUZOI,F
484,24,BORONADU,F
485,24,O\O\U (OOU),F
486,51,SIROMBU,F
487,24,TANAH MASA,F
488,46,SIBOLANGIT,F
489,53,SITELLU TALI URANG JEHE,F
490,31,KOTARIH,F
491,29,DOLOK PANRIBUAN,F
492,46,PAGAR MERBAU,F
493,32,MUARA BATANG TORU,F
494,26,PEGAGAN HILIR,F
495,46,GALANG,F
496,45,BILAH BARAT,F
497,27,KUALUH SELATAN,F
498,31,BINTANG BAYU,F
499,29,GUNUNG MALIGAS,F
500,29,PEMATANG SIDAMANIK,F
501,29,PEMATANG BANDAR,F
502,29,BANDAR MASILAM,F
503,50,MUNTE,F
504,25,MUARA SIPONGI,F
505,33,BANDAR PASIR MANDOGE,F
506,50,MARDINDING,F
507,54,BAJENIS,F
508,52,MEDAN TEMBUNG,F
509,55,BINJAI BARAT,F
510,29,GUNUNG MALELA,F
511,31,BANDAR KHALIFAH,F
512,45,BILAH HULU,F
513,54,PADANG HULU,F
514,44,SIANTAR UTARA,F
515,25,BUKIT MALINTANG,F
516,33,SEI KEPAYANG,F
517,29,SILIMAKUTA,F
518,29,DOLOK PARDAMEAN,F
519,33,SETIA JANJI,F
520,33,SILAU LAUT,F
521,42,TALAWI,F
522,25,RANTO BAEK / BAIK,F
523,25,HUTA BARGOT,F
524,26,PARBULUAN,F
525,33,PULAU RAKYAT,F
526,25,BATAHAN,F
527,38,PARMAKSIAN,F
528,30,PADANG TUALANG,F
529,26,BERAMPU (BRAMPU),F
530,44,SIANTAR BARAT,F
531,38,SIGUMPAR,F
532,28,PAGARAN,F
533,25,NAGA JUANG,F
534,48,ALASA TALUMUZOI,F
535,48,NAMOHALU ESIWA,F
536,35,BARUMUN SELATAN,F
