id,id_kecamatan,kelurahan_desa,kode_pos,deleted
23170,1629,RAJABASA,,F
23171,1716,RAMA DEWA,34155,F
23172,1716,RAMA GUNAWAN,34155,F
23173,1716,RAMA INDERA,34155,F
23174,1716,RAMA KELANDUNGAN,34155,F
23175,1716,RAMA MURTI,34155,F
23176,1716,RAMA NIRWANA,34155,F
23177,1716,RAMA OETAMA (UTAMA),34155,F
23178,1773,RAMA PUJA,34371,F
23179,1773,RAMAN AJI,34371,F
23180,1773,RAMAN ENDRA,34371,F
23181,1773,RAMAN FAJAR,34371,F
23182,1716,RAMAYANA,34155,F
23183,1684,RAMBANG JAYA,34764,F
23184,1624,RAMSAI / RAMSAY,34767,F
23185,1593,RANGAI TRI TUNGGAL,35452,F
23186,1773,RANTAU FAJAR,34371,F
23187,1683,RANTAU JAYA BARU,34157,F
23188,1683,RANTAU JAYA ILIR,34157,F
23189,1683,RANTAU JAYA MAKMUR,34157,F
23190,1702,RANTAU JAYA UDIK I,34194,F
23191,1702,RANTAU JAYA UDIK II,34194,F
23192,1585,RANTAU JAYA,34766,F
23193,1663,RANTAU MINYAK,35356,F
23194,1585,RANTAU TEMIANG,34766,F
23195,1766,RANTAU TIJANG,35682,F
23196,1592,RANTAU TIJANG,35675,F
23197,1607,RATA AGUNG,34877,F
23198,1773,RATNA DAYA,34371,F
23199,1716,RATNA KHATON,34155,F
23200,1560,RATU ABUNG,34581,F
23201,1671,RATU JAYA,34555,F
23202,1732,RAWA BETIK,34158,F
23203,1727,RAWA LAUT,35127,F
23204,1582,RAWA RAGIL,34595,F
23205,1663,RAWA SELAPAN,35356,F
23206,1760,RAWAS,34874,F
23207,1661,RAWI,35592,F
23208,1585,REBANG TINGGI,34766,F
23209,1565,REJO AGUNG,34381,F
23210,1716,REJO ASRI,34155,F
23211,1716,REJO BASUKI,34155,F
23212,1773,REJO BINANGUN,34371,F
23213,1570,REJO BINANGUN,34698,F
23214,1773,REJO KATON,34371,F
23215,1643,REJO MULYO,34583,F
23216,1605,REJO MULYO,35594,F
23217,1767,REJO MULYO,34387,F
23218,1696,REJO MULYO,34684,F
23219,1667,REJOAGUNG,35363,F
23220,1646,REJOMULYO,35365,F
23221,1777,REJOMULYO,34123,F
23222,1692,REJOMULYO,35361,F
23223,1642,REJOSARI MATARAM,34164,F
23224,1688,REJOSARI,34514,F
23225,1623,REJOSARI,35362,F
23226,1687,REJOSARI,34595,F
23227,1701,REJOSARI,35373,F
23228,1574,REJOSARI,35387,F
23229,1615,REJOSASI,34769,F
23230,1682,REKSO BINANGUN,34157,F
23231,1639,RENGAS,34162,F
23232,1682,RENO BASUKI,34157,F
23233,1682,RESTU BARU,34157,F
23234,1682,RESTU BUANA,34157,F
23235,1773,RESTU RAHAYU,34371,F
23236,1745,RIAU PERIANGAN,34176,F
23237,1749,RIGIS JAYA,34876,F
23238,1609,RINGIN JAYA,34882,F
23239,1571,RINGIN SARI,34682,F
23240,1627,RINGIN SARI,34882,F
23241,1640,ROWOREJO,35353,F
23242,1627,ROWOREJO,34882,F
23243,1661,RUANG TENGAH,35592,F
23244,1636,RUGUK,35596,F
23245,1682,RUKTI BASUKI,34157,F
23246,1716,RUKTI ENDAH,34155,F
23247,1716,RUKTI HARJO,34155,F
23248,1773,RUKTI SUDIYO,34371,F
23249,1623,RULUNG HEROK / HELOK,35362,F
23250,1623,RULUNG MULYA,35362,F
23251,1623,RULUNG RAYA,35362,F
23252,1623,RULUNG SARI,35362,F
23253,1679,RUMBIH,34762,F
23254,1626,RUSABA,35453,F
23255,1692,SABAH BALAU,35361,F
23256,1579,SABUK EMPAT,34558,F
23257,1579,SABUK INDAH,34558,F
23258,1610,SADAR SRIWIJAYA,34389,F
23259,1781,SAKTI BUANA,34156,F
23260,1743,SAKTI JAYA,34683,F
23261,1567,SAMBI REJO,34384,F
23262,1741,SAMBIKARTO,34382,F
23263,1620,SAMPANG TURUS,35686,F
23264,1782,SANGGA BUANA,34179,F
23265,1781,SANGGAR BUANA,34156,F
23266,1590,SANGGI UNGGAK,35686,F
23267,1590,SANGGI,35686,F
23268,1657,SANGGI,35451,F
23269,1684,SANGKARAN BAKTI,34764,F
23270,1745,SANGUN RATU,34176,F
23271,1772,SAPTO MULYO,34153,F
23272,1698,SAPTO RENGGO,34763,F
23273,1781,SARI BAKTI,34156,F
23274,1561,SARI JAYA,34769,F
23275,1763,SAWAH BREBES,35124,F
23276,1763,SAWAH LAMA,35125,F
23277,1651,SAWANG BALAK,35683,F
23278,1656,SAWO JAJAR,34511,F
23279,1624,SAY UMPU,34767,F
23280,1596,SEBARUS,34815,F
23281,1596,SEDAMPAH INDAH,34811,F
23282,1638,SEDAYU,35386,F
23283,1745,SEGALA MIDER,34176,F
23284,1733,SEGALA MIDER,35152,F
23285,1684,SEGERA MIDER,34764,F
23286,1739,SEKINCAU,34885,F
23287,1764,SEKIPI,34556,F
23288,1766,SELAPAN,35682,F
23289,1617,SELERETNO (SELORETNO),35353,F
23290,1565,SELO REJO,34381,F
23291,1706,SELUSUBAN,34166,F
23292,1597,SEMANAK,35592,F
23293,1749,SEMARANG JAYA,34876,F
23294,1747,SEMULI JAYA,34581,F
23295,1747,SEMULI RAYA,34581,F
23296,1754,SENDANG AGUNG MATARAM,34169,F
23297,1774,SENDANG AGUNG,34174,F
23298,1774,SENDANG ASIH,34174,F
23299,1625,SENDANG AYU,34175,F
23300,1774,SENDANG BARU,34174,F
23301,1774,SENDANG MUKTI,34174,F
23302,1774,SENDANG MULYO,34174,F
23303,1774,SENDANG REJO,34174,F
23304,1774,SENDANG RETNO,34174,F
23305,1774,SENDANG SARI (ASRI),34174,F
23306,1758,SEPANG JAYA,35148,F
23307,1635,SEPUTIH JAYA,34161,F
23308,1760,SERAI  /  SERAY,34874,F
23309,1698,SERDANG KURING,34763,F
23310,1692,SERDANG,35361,F
23311,1699,SERINUMPI,34763,F
23312,1674,SERUNGKUK,34872,F
23313,1679,SERUPA INDAH,34762,F
23314,1781,SETIA BAKTI,34156,F
23315,1743,SETIA BUMI,34683,F
23316,1781,SETIA BUMI,34156,F
23317,1598,SETIA NEGARA,34761,F
23318,1561,SETIA NEGARA,34769,F
23319,1668,SETIA TAMA,34595,F
23320,1780,SIDANG BANDAR ANOM,34696,F
23321,1780,SIDANG GUNUNG TIGA,34696,F
23322,1780,SIDANG ISO MUKTI,34696,F
23323,1780,SIDANG KURNIA AGUNG,34696,F
23324,1780,SIDANG SIDO RAHAYU,34696,F
23325,1780,SIDANG WAY PUJI,34696,F
23326,1782,SIDO BINANGUN,34179,F
23327,1675,SIDO DADI,34159,F
23328,1638,SIDO DADI,35386,F
23329,1606,SIDO HARJO,35353,F
23330,1764,SIDO KAYO,34556,F
23331,1636,SIDO LUHUR,35596,F
23332,1743,SIDO MAKMUR,34683,F
23333,1606,SIDO MAKMUR,35353,F
23334,1668,SIDO MEKAR,34595,F
23335,1668,SIDO MUKTI,34595,F
23336,1588,SIDO MULYO,34152,F
23337,1638,SIDO MULYO,35386,F
23338,1746,SIDO MULYO,34557,F
23339,1747,SIDO RAHAYU,34581,F
23340,1756,SIDO RAHAYU,34376,F
23341,1606,SIDO RENO,35353,F
23342,1684,SIDOARJO,34764,F
23343,1636,SIDOASIH,35596,F
23344,1646,SIDOASRI (SIDODADI ASRI),35365,F
23345,1663,SIDOASRI,35356,F
23346,1749,SIDODADI,34876,F
23347,1634,SIDODADI,34173,F
23348,1765,SIDODADI,35147,F
23349,1657,SIDODADI,35451,F
23350,1710,SIDODADI,35376,F
23351,1766,SIDODADI,35682,F
23352,1566,SIDODADI,34391,F
23353,1687,SIDODADI,34595,F
23354,1741,SIDODADI,34382,F
23355,1739,SIDODADI,34885,F
23356,1617,SIDODADI,35353,F
23357,1650,SIDODADI,34554,F
23358,1653,SIDODADI,35367,F
23359,1646,SIDOHARJO,35365,F
23360,1672,SIDOHARJO,35379,F
23361,1687,SIDOHARJO,34595,F
23362,1701,SIDOHARJO,35373,F
23363,1730,SIDOHARJO,34176,F
23364,1659,SIDOKATON,35378,F
23365,1697,SIDOKERTO,34161,F
23366,1634,SIDOLUHUR,34173,F
23367,1753,SIDOMAKMUR,34377,F
23368,1687,SIDOMAKMUR,34595,F
23369,1593,SIDOMEKAR,35452,F
23370,1643,SIDOMUKTI,34583,F
23371,1741,SIDOMUKTI,34382,F
23372,1641,SIDOMUKTI,35361,F
23373,1576,SIDOMULYO,35679,F
23374,1634,SIDOMULYO,34173,F
23375,1694,SIDOMULYO,34556,F
23376,1778,SIDOMULYO,34697,F
23377,1640,SIDOMULYO,35353,F
23378,1666,SIDOMULYO,34885,F
23379,1687,SIDOMULYO,34595,F
23380,1741,SIDOMULYO,34382,F
23381,1617,SIDOMULYO,35353,F
23382,1586,SIDOMULYO,35374,F
23383,1634,SIDOREJO,34173,F
23384,1647,SIDOREJO,34385,F
23385,1617,SIDOREJO,35353,F
23386,1586,SIDOREJO,35374,F
23387,1627,SIDOREJO,34882,F
23388,1623,SIDOSARI,35362,F
23389,1617,SIDOWALUYO,35353,F
23390,1697,SIDOWARAS,34161,F
23391,1768,SILIWANGI,35674,F
23392,1568,SIMBAR WARINGIN,34171,F
23393,1707,SIMPANG ABUNG / AGUNG,34558,F
23394,1706,SIMPANG AGUNG,34166,F
23395,1585,SIMPANG ASAM,34766,F
23396,1590,SIMPANG BAYUR,35686,F
23397,1586,SIMPANG KANAN,35374,F
23398,1570,SIMPANG PEMATANG,34698,F
23399,1577,SIMPANG TIGA,34767,F
23400,1783,SIMPANGSARI,34871,F
23401,1592,SINAR AGUNG,35675,F
23402,1590,SINAR BANGUN,35686,F
23403,1628,SINAR BANTEN,35377,F
23404,1574,SINAR BANTEN,35387,F
23405,1639,SINAR BANTEN / BEKRI,34162,F
23406,1768,SINAR BARU TIMUR,35674,F
23407,1768,SINAR BARU,35674,F
23408,1628,SINAR BETUNG,35377,F
23409,1695,SINAR GADING,34765,F
23410,1719,SINAR GUNUNG,34582,F
23411,1591,SINAR HARAPAN,35368,F
23412,1718,SINAR HARAPAN,34554,F
23413,1628,SINAR HARAPAN,35377,F
23414,1667,SINAR JATI,35363,F
23415,1576,SINAR JAWA,35679,F
23416,1749,SINAR JAYA,34876,F
23417,1746,SINAR JAYA,34557,F
23418,1665,SINAR KARYA,35357,F
23419,1632,SINAR LAGA,34598,F
23420,1634,SINAR LUAS,34173,F
23421,1722,SINAR LUAS,34871,F
23422,1575,SINAR MANCAK,35679,F
